,comments
354,"Fun fact : The whole world was singing to this, 5 years ago."
355,"  Чистое золото , чистый бриллиант, все вместе - мурашки по коже , Бог храни его !!!!"
356,9 years later and this song still hits different
357,good song
358,Can imagine all the fun they had making this vid- back when everyone had to show up on set..
359,Deixo minha sigela homenagem a uma grande irmã   uma guerreira uma lutadora e foi morar no céu  hoje é  uma estrelinha que brilha bem forte e tinha o nome de Valéria
360,Like si hablas en español pero te gusta la cancion
361,The best song on planet 
362,"Bruno mars, es el merecedor despues Michael Jackson ser el rey del pop"
363,綺麗なファンクはホントカッコイイ
364,"A true staple in the history of music, no song can beat this even the people in like. 2026 will find this amusing."
365,This song is turning a decade old this year
366,Bring that old grove back Bruno!
367,This is awesome music
368,Favourite ever 
369,one just cannot be in a bad mood and listen to this song.
370,I could listen to this 4ever
371,We all get bored ..in our minds dint we 
372,So nobody's gonna talk about how he rocks that pink doe?
373,This song has its own vibe
374,Bruno Mars es otro levels
375,pop doesn’t hit the same anymore
376,Love this song
377,2024 and still listening to this banger
378,It's crazy how we are listening to these songs again as different people
379,damn man i listen this song after 5 year but still favourite
380,"""Don't believe me, just watch""
Classic lyrics"
381,Me everyday 
382,Bruno mars soy española latinoamericana si te aparece para traducir traducilo en ingles . Pero te quiero decir que estoy ensayando con  esta cancion en mi escuela vamos a actuar de el cuento de los tres cerditos voy a actuar de chanchito
383,When I was a baby my sister played this on the aeroplane I stopped crying 
384,"7 YEARS later, If your still watching this, your a legend."
385,this music is a masterpiece
386,"9 years ago this song was released, time passed very quickly ️"
387,Cool song
388,Hoje fez 9 anos parabéns mark rosson e Bruno mars
389,"I remember back then i always listen to this song in my ipad when i was grade 2(2014), now I'm grade and still vibin with this song 

Time check: 2:42am"
390,This song still hits directly into the mitochondria.
391,10 anos escutando isso e eu nunca vi alguem falando q esse cara parece o luan santana
392,El mejor artista pop q conozco  el debe ser el rey del pop por su talento y su gran voz y no bad budy no tiene voz  bruno mars  el es el rey pop
393,"Happy New Year 2024  
Still jamming to this great song."
394,Omg rush of emotions and nostalgia from early 2010s
395,The bass player is crazy
396,We all never realized this song isn’t by Bruno it only features him 
397,Man this song is on another level.
398,Five (six with Mark) of the most talented men I have ever watched (many times)!
399,I like it
400,"Bruno should not have to give up credit this this music he is one of the best n he perfected the theme n the beat, kudos Bruno. am a a Big Fan From Kenya your Music. Have a blast"
401,"people are saying hes the new michael jackson but hes not the new version of michael jackson
he IS THE BRUNO MARS"
402,spend the years I can not stop listening to this song
403,i love how bruno mars sings the whole song but mark ronson just shakes his head whenever you see him.
404,"I dont know about music genre, i listen Chemical brothers, Gorillaz, and Deft Punk for years, and nevee found any music that can match these 3 bands until i heard this track in video game, since i become hardcore fan of Prodigy, they create music that just hit so hard and never ever get old"
405,"Brazillll, love it. ."
406,Love this song
407,Bruno mars por siempre 
408,"Correct me if I'm wrong but, the way he moves in that video; lets off sort of a Michael Jackson vibe :p."
409,This reminds my childhood
410,très belle musique
411,Its end of 2023 and still watching it.. One of the best
412,Música tão motivadora que até o Vergil ficaria com inveja 
413,Still cant belive that this was published Nov 19 2014 after my birthday and the way This is Mark Ronson's Music But The way Bruno Mars Stole The Music And it became like his biggest hits DAMNNNN
414,2 Billion Views wow? can someone explain why this video is so popular?
415,"Te amo Bruno, por ti le puse a mi hijo Bruno, realmente es un nombre muy elegante "
416,Almost the entire earth saw this WORK OF ART
417,"0:00 - intro
0:14 - verse 1
0:31 - prechorus
0:48 - chorus"
418,2023 And this gem continues to shine 
419,Bruno Mars!!! 26/12/2023!!!!
420,"Nobody cares what year you’re watching this in
It’s still a good song"
421,The person that said 100% to everything I believe them 100%. I love the my mom made me listen to the song when I was in her stomach and I really just love this song. I think this person that made the song should get award.
422,"I love how he saying I’m too hot, but he’s literally wearing sunglasses"
423,Going on 10 years… are you fkn kidding me??? It feels like it was just yesterday… cherish every moment… time flies…
424,"uptown fun- 

ya es la numero 139 vez que escucho esto."
425,
426,Remember the time when literally everyone was playing this song everywhere.....
427,Ты классно поёш 
428,Awesome
429,Best musician ever in the 21st century
430,2023   a primeira eh show demais 
431,Música boa pra se largar na pista!!
432,Remember when everyone talked about him like he is the new Michael Jackson.
433,"I feel like this is the type of song that, from the moment it's made in the studio, you just know it's going to be a hit"
434,"Here it's 2024! Anyone?? Excellent musical choice, good music never goes out of style, it is eternal <3"
435,Me and my best friend we love Bruno Mars
436,i am 11 years old and music from the 2010's is the only thing i vibe to
437,
438,"Listening to this song to remember the old days, when corona only was a drink."
439,He is just like MICHAEL JACKSON always young and fit
440,와.. 진짜 겨의  전세계인의 반 넘게 이 뮤비를 봤다니.. 전설이당
441,
442,"What a beautiful English song, well done"
443,
444,When after all these years you realize this isn't a Bruno Mars song...
445,I literally danced this at my end of elementary school
446,"Парень, ну ты крут!"
447,My fav song
448,"This hit, that ice-cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces"
449,2024 still hitting 
450,Back when no coronavirus and everyone can go outside while this song in their cars or mall :(
451,Marking our presence after 9 years️
452,WE WINNING A DANCE OFF IN SIBERIA WITH THIS ONE 
453,Feliz ano novo brazil
454,"BRUNO MARS!!!     WE need more like him and we have it!!       We have Beyonce, Taylor Swift and more!          We need this Now!   2023!"
455,01:07 ループしたくなる
456,"6 years later , if you’re watching this you’re a legend."
457,This song still feels good as hell
458,Bruno tops never get sick  listening to him great yup yip 
459,
460,Классная песня !
461,
462,"WHO STILL LISTENING THIS SONG YOU ARE THE BEST
2022 still listening 
2023 still listening ️"
463,I love this song 
464,"この曲を聴くと
どうしても数年前に流行った伝説のサッカー部を思い出してしまう（笑）"
465,Soon this song will be a decade
466,This song is so good
467,진짜 언제봐도 개지리네
468,The fact that this comment section is alive after 6+ years is amazing
469,Esta cancion la baile el año pasado y me gusto
470,"I found the song by chance, which I heard when I was little and never knew the name of. "
471,ICON 
472,9 years later still good editing
473,Nostalgia always means that you once witnessed quality content but it also always means that you're getting old 
474,If today's kid listen to this song they will became legend
475,"This is the song I used to play on a summer hot afternoon, and dance for hours nonstop, it's such a vibe. Thank God I found it again"
476,Every day is the day to listen to Bruno Mars ️
477,My fav childhood song
478,"The lyrics : 

This hit, that ice-cold
Michelle Pfeiffer, that white gold"
479,Playing on Christmas Day volume up
480,"I mean bruno is not wrong when he says ""I'm too hot"""
481,C t la belle époque la bonne musique !!
482,so beautiful i love it
483,Umas da melhores música mesmo que r atinga nunca vai parar eu amo e se musica
484,This is a celebration song with full of emotions
485,Alguien hispano escuchando este rolon en 2024?
486,Even the music video makes you wanna say “hot daym”
487,"LYRICS 


This hit, that ice-cold"
488,Great song. The melody is very similar to West Coast Poplock by Ronnie Hudson.
489,talented and handsome!!!
490,"Took a week, but I learnt all of the dance at the first part up until 2:00"
491,"Alguem em dezembro de 2023?
Amo essa musica !"
492,Bruno Mars is the closest thing we will ever get to Michael Jackson 
493,Smoother than a fresh jar of Skippy
494,"The song
The vocalist
The instrumental
The viewers"
